,,,,,,
Degree Pursuing,Year of pursing,Age (in numbers),CGPA,Do you pursue Teaching Assistantship in the odd semesters?,"Money spent through online means (UPI, Net banking etc.)",Money spent through offline means (Cash)
First Degree,1st Year,22,8.86,Yes,0.7,0.3
Higher Degree,1st Year,23,8.57,No,0.8,0.2
Higher Degree,1st Year,25,8.29,Yes,0.8,0.2
Higher Degree,1st Year,23,7.57,Yes,0.6,0.4
Higher Degree,2nd Year,22,7.86,Yes,0.5,0.5
Higher Degree,1st Year,24,6.29,Yes,0.95,0.05
Higher Degree,1st Year,25,6.86,Yes,0.9,0.1
Higher Degree,1st Year,25,7.71,Yes,0.95,0.05
Higher Degree,1st Year,25,8.43,Yes,0.8,0.2
First Degree,4th Year,21,8.19,Yes,0.75,0.25
Higher Degree,1st Year,25,8.57,Yes,0.9,0.1
Higher Degree,1st Year,24,7.3,Yes,0.65,0.35
Higher Degree,1st Year,24,7.14,Yes,0.95,0.05
Higher Degree,1st Year,26,7.57,Yes,0.8,0.2
Higher Degree,1st Year,26,8.3,Yes,0.9,0.1
Higher Degree,2nd Year,25,7,Yes,0.75,0.25
Higher Degree,1st Year,24,8.14,Yes,0.3,0.7
Higher Degree,2nd Year,25,7.14,Yes,0.5,0.5
Higher Degree,1st Year,23,8.86,Yes,0.65,0.35
Higher Degree,1st Year,24,8,Yes,0.9,0.1
Higher Degree,1st Year,24,6.7,Yes,0.85,0.15
Higher Degree,1st Year,26,6.71,Yes,0.9,0.1
Higher Degree,1st Year,24,8.71,Yes,0.5,0.5
PhD,2nd Year,26,6.98,Yes,0.4,0.6
Higher Degree,2nd Year,25,6.9,No,0.8,0.2
Higher Degree,1st Year,21,7.87,Yes,0.9,0.1
Higher Degree,2nd Year,23,6.89,No,0.7,0.3
First Degree,3rd Year,21,8.2,No,0.75,0.25
Higher Degree,2nd Year,24,7.79,Yes,0.8,0.2
PhD,1st Year,30,8.26,Yes,1,0
First Degree,1st Year,19,7.69,Yes,0.3,0.7
First Degree,2nd Year,19,7.81,No,0.85,0.15
Higher Degree,1st Year,24,8.15,No,0.7,0.3
First Degree,1st Year,18,8.38,No,1,0
Higher Degree,2nd Year,24,7.81,Yes,0.75,0.25
Higher Degree,2nd Year,24,8.38,Yes,0.6,0.4
Higher Degree,2nd Year,22,7.09,Yes,0.95,0.05
Higher Degree,1st Year,24,7.45,No,0.55,0.45
First Degree,1st Year,17,7.85,Yes,0.6,0.4
Higher Degree,1st Year,22,8.56,Yes,0.75,0.25
PhD,1st Year,29,8.67,Yes,0.8,0.2
First Degree,3rd Year,20,9.01,No,0.6,0.4
Higher Degree,1st Year,24,7.61,Yes,0.55,0.45
Higher Degree,2nd Year,23,8.5,Yes,0.85,0.15
First Degree,3rd Year,21,8.56,No,0.1,0.9
Higher Degree,1st Year,24,7.81,Yes,0.95,0.05
First Degree,3rd Year,19,8.45,No,0.9,0.1
Higher Degree,2nd Year,23,7.19,Yes,0.45,0.55
Higher Degree,1st Year,24,7.31,Yes,0.8,0.2
First Degree,2nd Year,19,6.78,No,0.8,0.2
Higher Degree,1st Year,21,7.74,Yes,0.55,0.45
Higher Degree,1st Year,24,7.22,No,0.7,0.3
Higher Degree,2nd Year,24,7.36,No,0.45,0.55
First Degree,2nd Year,19,7.91,No,0.75,0.25
First Degree,2nd Year,18,7.3,No,0.95,0.05
First Degree,3rd Year,21,8.52,No,0.65,0.35
First Degree,1st Year,19,6.8,No,0.55,0.45
First Degree,3rd Year,21,7.46,No,0.9,0.1
Higher Degree,1st Year,21,6.48,No,0.8,0.2
First Degree,1st Year,18,7.87,No,0.8,0.2
First Degree,2nd Year,18,7.55,No,0.9,0.1
Higher Degree,1st Year,21,6.65,Yes,0.55,0.45
Higher Degree,2nd Year,25,7.84,Yes,0.85,0.15
First Degree,3rd Year,19,7.56,No,0.7,0.3
Higher Degree,1st Year,21,7.95,No,0.85,0.15
Higher Degree,2nd Year,24,6.96,Yes,0.4,0.6
First Degree,2nd Year,18,6.81,No,0.5,0.5
First Degree,2nd Year,19,7.79,Yes,0.65,0.35
Higher Degree,1st Year,21,8.56,Yes,0.7,0.3
Higher Degree,1st Year,21,7.28,Yes,0.65,0.35
First Degree,2nd Year,18,7.67,No,0.75,0.25
First Degree,4th Year,20,7.78,No,0.85,0.15
Higher Degree,1st Year,21,7.42,Yes,0.85,0.15
Higher Degree,2nd Year,23,8.63,Yes,0.95,0.05
First Degree,1st Year,18,8.53,No,0.95,0.05
First Degree,1st Year,17,7.82,No,0.85,0.15
First Degree,1st Year,18,8.58,No,1,0
Higher Degree,1st Year,21,7.48,Yes,0.8,0.2
Higher Degree,1st Year,23,9.33,Yes,0.75,0.25
First Degree,2nd Year,18,8.18,No,0.6,0.4
First Degree,2nd Year,19,7.6,No,0.7,0.3
Higher Degree,1st Year,23,8.72,Yes,0.65,0.35
Higher Degree,1st Year,23,8.41,No,0.85,0.15
Higher Degree,1st Year,22,6.87,Yes,0.9,0.1
First Degree,1st Year,18,7.35,No,0.7,0.3
Higher Degree,2nd Year,25,6.98,Yes,0.8,0.2
Higher Degree,1st Year,23,6.75,Yes,0.9,0.1
First Degree,3rd Year,20,8.07,No,0.4,0.6
First Degree,1st Year,18,6.88,No,0.8,0.2
First Degree,3rd Year,21,7.04,No,0.45,0.55
First Degree,2nd Year,19,9,No,0.75,0.25
First Degree,4th Year,20,6.63,Yes,0.85,0.15
Higher Degree,2nd Year,25,8.28,Yes,0.75,0.25
Higher Degree,2nd Year,25,7.61,Yes,0.85,0.15
First Degree,4th Year,20,7.71,Yes,1,0
First Degree,4th Year,20,7.63,No,0.95,0.05
Higher Degree,2nd Year,25,8.5,Yes,0.1,0.9
First Degree,1st Year,17,7.8,No,0.05,0.95
Higher Degree,2nd Year,25,9.11,No,0.6,0.4
First Degree,1st Year,19,8.16,No,0.9,0.1
Higher Degree,2nd Year,23,8.38,Yes,0.75,0.25
PhD,1st Year,29,7.77,Yes,0.85,0.15
Higher Degree,1st Year,24,7.87,Yes,0.5,0.5
First Degree,4th Year,22,7.94,No,0.9,0.1
First Degree,1st Year,19,8.25,No,0.6,0.4
Higher Degree,2nd Year,22,7.51,Yes,0.7,0.3
First Degree,3rd Year,19,7.48,No,0.85,0.15
PhD,1st Year,26,8.83,Yes,0.9,0.1
First Degree,1st Year,19,7.69,No,0.9,0.1
Higher Degree,1st Year,22,7.05,Yes,0.45,0.55
First Degree,3rd Year,20,8.27,No,0.8,0.2
Higher Degree,1st Year,23,6.93,Yes,0.75,0.25
PhD,1st Year,26,9.67,Yes,1,0
First Degree,1st Year,18,8.08,No,0.9,0.1
Higher Degree,2nd Year,23,6.75,Yes,0.85,0.15
PhD,1st Year,27,6.75,Yes,0.8,0.2
First Degree,4th Year,22,8.3,Yes,0.9,0.1
First Degree,1st Year,19,6.43,No,0.4,0.6
PhD,1st Year,27,6.68,Yes,0.95,0.05
First Degree,4th Year,21,7.86,No,0.75,0.25
First Degree,3rd Year,20,7.81,Yes,1,0
PhD,1st Year,25,7.17,Yes,0.8,0.2
PhD,1st Year,30,7.37,Yes,0.6,0.4
